series_id,year,period,value
avg_hourly_earnings,2022,M06,32.2
avg_hourly_earnings,2022,M05,32.1
avg_hourly_earnings,2022,M04,31.96
avg_hourly_earnings,2022,M03,31.82
avg_hourly_earnings,2022,M02,31.66
avg_hourly_earnings,2022,M01,31.62
avg_hourly_earnings,2021,M12,31.41
avg_hourly_earnings,2021,M11,31.25
avg_hourly_earnings,2021,M10,31.15
avg_hourly_earnings,2021,M09,30.96
avg_hourly_earnings,2021,M08,30.79
avg_hourly_earnings,2021,M07,30.66
avg_hourly_earnings,2021,M06,30.55
avg_hourly_earnings,2021,M05,30.41
avg_hourly_earnings,2021,M04,30.23
avg_hourly_earnings,2021,M03,30.04
avg_hourly_earnings,2021,M02,30.07
avg_hourly_earnings,2021,M01,29.92
avg_hourly_earnings,2020,M12,29.91
avg_hourly_earnings,2020,M11,29.64
avg_hourly_earnings,2020,M10,29.55
avg_hourly_earnings,2020,M09,29.51
avg_hourly_earnings,2020,M08,29.5
avg_hourly_earnings,2020,M07,29.39
avg_hourly_earnings,2020,M06,29.38
avg_hourly_earnings,2020,M05,29.72
avg_hourly_earnings,2020,M04,30.04
avg_hourly_earnings,2020,M03,28.74
avg_hourly_earnings,2020,M02,28.54
avg_hourly_earnings,2020,M01,28.43
avg_hourly_earnings,2019,M12,28.38
avg_hourly_earnings,2019,M11,28.34
avg_hourly_earnings,2019,M10,28.23
avg_hourly_earnings,2019,M09,28.16
avg_hourly_earnings,2019,M08,28.14
avg_hourly_earnings,2019,M07,28.03
avg_hourly_earnings,2019,M06,27.96
avg_hourly_earnings,2019,M05,27.88
avg_hourly_earnings,2019,M04,27.79
avg_hourly_earnings,2019,M03,27.77
avg_hourly_earnings,2019,M02,27.69
avg_hourly_earnings,2019,M01,27.59
avg_hourly_earnings,2018,M12,27.56
avg_hourly_earnings,2018,M11,27.44
avg_hourly_earnings,2018,M10,27.37
avg_hourly_earnings,2018,M09,27.32
avg_hourly_earnings,2018,M08,27.21
avg_hourly_earnings,2018,M07,27.1
avg_hourly_earnings,2018,M06,27.03
avg_hourly_earnings,2018,M05,26.98
avg_hourly_earnings,2018,M04,26.91
avg_hourly_earnings,2018,M03,26.85
avg_hourly_earnings,2018,M02,26.74
avg_hourly_earnings,2018,M01,26.72
avg_hourly_earnings,2017,M12,26.63
avg_hourly_earnings,2017,M11,26.54
avg_hourly_earnings,2017,M10,26.5
avg_hourly_earnings,2017,M09,26.49
avg_hourly_earnings,2017,M08,26.37
avg_hourly_earnings,2017,M07,26.35
avg_hourly_earnings,2017,M06,26.26
avg_hourly_earnings,2017,M05,26.21
avg_hourly_earnings,2017,M04,26.17
avg_hourly_earnings,2017,M03,26.11
avg_hourly_earnings,2017,M02,26.07
avg_hourly_earnings,2017,M01,26.0
avg_hourly_earnings,2016,M12,25.93
avg_hourly_earnings,2016,M11,25.9
avg_hourly_earnings,2016,M10,25.9
avg_hourly_earnings,2016,M09,25.77
avg_hourly_earnings,2016,M08,25.71
avg_hourly_earnings,2016,M07,25.69
avg_hourly_earnings,2016,M06,25.62
avg_hourly_earnings,2016,M05,25.58
avg_hourly_earnings,2016,M04,25.53
avg_hourly_earnings,2016,M03,25.45
avg_hourly_earnings,2016,M02,25.38
avg_hourly_earnings,2016,M01,25.37
avg_hourly_earnings,2015,M12,25.25
avg_hourly_earnings,2015,M11,25.25
avg_hourly_earnings,2015,M10,25.2
avg_hourly_earnings,2015,M09,25.11
avg_hourly_earnings,2015,M08,25.09
avg_hourly_earnings,2015,M07,25.01
avg_hourly_earnings,2015,M06,24.97
avg_hourly_earnings,2015,M05,24.97
avg_hourly_earnings,2015,M04,24.89
avg_hourly_earnings,2015,M03,24.85
avg_hourly_earnings,2015,M02,24.8
avg_hourly_earnings,2015,M01,24.75
