positionOpenDate,positionTitle,appointmentType,maximumSalary,workSchedule,salaryType,state,clean_positionTitle,skill_set_0,skill_set_1,skill_set_2,year_month
2015-08-25,Human Resources Specialist (Labor Relations) - DE,Permanent,139523.0,Full-time,Per Year,District of Columbia,human resources labor relations,0.06689479612286511,0.8661962777279406,0.06690892614919437,2015-08
2015-08-26,"Maintenance Mechanic Leader, WL-4749-11",Permanent,34.92,Full-time,Per Hour,Maryland,maintenance mechanic leader,0.08516060579734476,0.08346914213619094,0.8313702520664643,2015-08
2016-10-01,Urologist - Women's Health (Physician),Permanent,325000.0,Part-time,Per Year,New York,urologist women health physician,0.8616125890821184,0.06898255297155254,0.06940485794632907,2016-10
2015-09-04,"Research Mechanical Engineer, ZP-0830-III/IV",Permanent,139523.0,Full-time,Per Year,Maryland,research mechanical engineer iii,0.8497624376015682,0.08337242776633758,0.06686513463209413,2015-09
2015-09-09,Aviation Clerk (Office Automation),Permanent,43397.0,Full-time,Per Year,Georgia,aviation clerk office automation,0.07539101067815353,0.8577743441821076,0.06683464513973869,2015-09
2015-09-10,"Mathematical Statistician, ZP-1529-03 (GS-11/12 equivalent)",Term,99296.0,Full-time,Per Year,Maryland,mathematical statistician,0.7767197321097313,0.1116453435047709,0.11163492438549784,2015-09
2017-09-06,STAFF NURSE (HOME BASED PRIMARY CARE),Permanent,105797.0,Full-time,Per Year,Delaware,nurse home based primary care,0.05855297845364946,0.5243311835614862,0.41711583798486424,2017-09
2015-09-13,IT Specialist (Customer Support),Permanent,82026.0,Full-time,Per Year,Colorado,customer support,0.1132457100599321,0.11134803867701308,0.7754062512630547,2015-09
2015-09-21,Staff Accountant,Permanent,110275.0,Full-time,Per Year,Alabama,accountant,0.16682025023902627,0.1668330860620168,0.666346663698957,2015-09
2015-09-15,Supervisory International Trade Specialist GS-1140-14,Permanent,128223.0,Full-time,Per Year,Alabama,supervisory international trade,0.8329783749960419,0.08350603344906944,0.08351559155488873,2015-09
2015-09-18,"Recent Graduate - Social Scientist, ZP-0101-II",Recent graduates,75509.0,Part-time,Per Year,Maryland,social scientist,0.11834415122282893,0.1163468722451195,0.7653089765320515,2015-09
2015-09-16,Airplane Pilot,Permanent,128223.0,Full-time,Per Year,New Mexico,airplane pilot,0.11126383399150146,0.11127645173751037,0.7774597142709881,2015-09
2015-09-18,Financial Analyst - MP,Permanent,139523.0,Full-time,Per Year,District of Columbia,financial,0.16686088440869107,0.1669901499841058,0.6661489656072032,2015-09
2015-09-18,Financial Analyst - DE,Permanent,139523.0,Full-time,Per Year,District of Columbia,financial,0.16686088440869107,0.1669901499841058,0.6661489656072032,2015-09
2015-09-23,Building Services Specialist,Permanent,76386.0,Full-time,Per Year,Georgia,building,0.16787765440808958,0.6641669594936719,0.16795538609823854,2015-09
2015-09-25,Civil Engineer,Permanent,106847.0,Full-time,Per Year,California,civil engineer,0.7776066921452858,0.11119507424549761,0.11119823360921659,2015-09
2015-09-25,Civil Engineer,Permanent,128629.0,Full-time,Per Year,California,civil engineer,0.7776066921452858,0.11119507424549761,0.11119823360921659,2015-09
2015-10-02,Contract Specialist GS-1102-09 (MP-AL),Permanent,68465.0,Full-time,Per Year,Virginia,,0.3333333333333333,0.3333333333333333,0.3333333333333333,2015-10
2015-10-02,Contract Specialist GS-1102-07 (MP-AL),Permanent,55970.0,Full-time,Per Year,Virginia,,0.3333333333333333,0.3333333333333333,0.3333333333333333,2015-10
2015-10-05,Nurse Practitioner (Mental Health Service),Permanent,110530.0,Full-time,Per Year,Texas,nurse practitioner mental health service,0.6237538000294398,0.3202764388729128,0.05596976109764736,2015-10
2015-10-07,"Human Resources Specialist (Staffing and Classification), GS-0201-11/12 (MP-PERM-YMJ)",Permanent,99296.0,Full-time,Per Year,Colorado,human resources staffing classification perm ymj,0.04772008166936332,0.9045536229613845,0.04772629536925208,2015-10
2015-10-07,Human Resources Assistant-Employee Development,Permanent,45190.0,Full-time,Per Year,District of Columbia,human resources employee development,0.06676491296175063,0.8664603609887549,0.06677472604949457,2015-10
2015-10-07,Museum Technician- Art,Permanent,45190.0,Full-time,Per Year,District of Columbia,museum technician art,0.12112630819744813,0.7950260181080527,0.08384767369449916,2015-10
2015-10-08,Business Manager(Category Management),Permanent,158700.0,Full-time,Per Year,District of Columbia,business category management,0.7837417751311367,0.1325462405147662,0.08371198435409703,2015-10
2015-10-09,"Aviation Safety Inspector (OPS), Training Center  Partial Program Manager",Permanent,108507.0,Full-time,Per Year,Florida,aviation safety ops training center partial,0.04769252931110955,0.9046102481823379,0.04769722250655253,2015-10
2015-10-13,Health Technician,Permanent,52230.0,Full-time,Per Year,Texas,health technician,0.7652232442311918,0.12351684588343335,0.11125990988537483,2015-10
2015-10-14,Program Specialist,Permanent,99296.0,Full-time,Per Year,District of Columbia,,0.3333333333333333,0.3333333333333333,0.3333333333333333,2015-10
2017-01-19,Transportation Security Officer (TSO),Permanent,21.96,Part-time,Per Hour,Iowa,transportation security tso,0.08339160673195889,0.08393834070708557,0.8326700525609555,2017-01
